Role,Type,Line of Code
Peripheral,volunteer,12.0
Peripheral,volunteer,14.0
Peripheral,volunteer,8.0
Peripheral,volunteer,4.5
Peripheral,volunteer,4.0
Peripheral,volunteer,5.0
Peripheral,volunteer,4.0
Peripheral,volunteer,103.5
Peripheral,volunteer,18.0
Peripheral,volunteer,12.0
Peripheral,volunteer,5.5
Peripheral,volunteer,7.0
Peripheral,volunteer,25.0
Peripheral,volunteer,16.5
Peripheral,volunteer,87.0
Peripheral,volunteer,13.0
Peripheral,volunteer,2.0
Peripheral,volunteer,10.0
Peripheral,volunteer,15.5
Peripheral,volunteer,7.0
Peripheral,volunteer,4.0
Peripheral,volunteer,25.0
Peripheral,volunteer,41.5
Peripheral,volunteer,26.0
Peripheral,volunteer,29.0
Peripheral,volunteer,26.0
Peripheral,volunteer,48.0
Peripheral,volunteer,10.0
Peripheral,volunteer,39.0
Peripheral,volunteer,40.0
Peripheral,volunteer,8.0
Peripheral,volunteer,16.5
Peripheral,volunteer,5.0
Peripheral,volunteer,2.0
Peripheral,volunteer,5.0
Peripheral,volunteer,34.5
Peripheral,volunteer,24.0
Peripheral,volunteer,2.0
Peripheral,volunteer,16.0
Peripheral,volunteer,50.0
Peripheral,volunteer,18.5
Peripheral,volunteer,19.0
Peripheral,volunteer,12.0
Peripheral,volunteer,8.0
Peripheral,volunteer,12.0
Peripheral,volunteer,6.0
Peripheral,volunteer,16.0
Peripheral,volunteer,2.0
Peripheral,volunteer,19.0
Peripheral,volunteer,3.0
Peripheral,volunteer,40.0
Peripheral,volunteer,32.0
Peripheral,volunteer,36.5
Peripheral,volunteer,9.0
Peripheral,volunteer,28.0
Peripheral,volunteer,18.5
Peripheral,volunteer,23.0
Peripheral,volunteer,1.5
Peripheral,volunteer,2.0
Peripheral,volunteer,2.0
Peripheral,volunteer,6.5
Peripheral,volunteer,8.0
Peripheral,volunteer,14.0
Peripheral,volunteer,9.0
Peripheral,volunteer,53.0
Peripheral,volunteer,10.5
Peripheral,volunteer,23.5
Peripheral,volunteer,16.0
Peripheral,volunteer,8.0
Peripheral,volunteer,9.5
Peripheral,volunteer,20.0
Peripheral,volunteer,5.5
Peripheral,volunteer,24.0
Peripheral,volunteer,4.0
Peripheral,volunteer,22.0
Peripheral,volunteer,4.0
Peripheral,volunteer,15.0
Peripheral,volunteer,18.5
Peripheral,volunteer,2.0
Peripheral,volunteer,12.0
Peripheral,volunteer,4.0
Peripheral,volunteer,40.5
Peripheral,volunteer,11.0
Peripheral,volunteer,2.0
Peripheral,volunteer,6.0
Peripheral,volunteer,11.0
Peripheral,volunteer,4.0
Peripheral,volunteer,8.0
Peripheral,volunteer,10.0
Peripheral,volunteer,20.0
Peripheral,volunteer,29.0
Peripheral,volunteer,65.0
Peripheral,volunteer,14.0
Peripheral,volunteer,16.5
Peripheral,volunteer,4.0
Peripheral,volunteer,52.0
Peripheral,volunteer,52.0
Peripheral,volunteer,14.0
Peripheral,volunteer,4.0
Peripheral,volunteer,2.0
Peripheral,volunteer,8.5
Peripheral,volunteer,25.5
Peripheral,volunteer,11.0
Peripheral,volunteer,4.0
Peripheral,volunteer,6.0
Peripheral,volunteer,47.0
Peripheral,volunteer,3.5
Peripheral,volunteer,13.0
Peripheral,volunteer,91.0
Peripheral,volunteer,7.0
Peripheral,volunteer,12.5
Peripheral,volunteer,2.5
Peripheral,volunteer,8.0
Peripheral,volunteer,3.0
Peripheral,volunteer,2.0
Peripheral,volunteer,16.5
Peripheral,volunteer,33.5
Peripheral,volunteer,42.5
Peripheral,volunteer,6.0
Peripheral,volunteer,21.0
Peripheral,volunteer,31.0
Peripheral,volunteer,2.0
Peripheral,volunteer,3.0
Peripheral,volunteer,100.0
Peripheral,volunteer,4.5
Peripheral,volunteer,13.0
Peripheral,volunteer,45.0
Peripheral,volunteer,7.0
Peripheral,volunteer,2.0
Peripheral,volunteer,10.0
Peripheral,volunteer,7.0
Peripheral,volunteer,6.0
Peripheral,volunteer,31.5
Peripheral,volunteer,21.0
Peripheral,volunteer,2.0
Peripheral,volunteer,2.0
Peripheral,volunteer,8.0
Peripheral,volunteer,31.0
Peripheral,volunteer,4.0
Peripheral,volunteer,3.0
Peripheral,volunteer,6.0
Peripheral,volunteer,18.5
Peripheral,volunteer,16.0
Peripheral,volunteer,29.0
Peripheral,volunteer,18.0
Peripheral,volunteer,2.0
Peripheral,volunteer,3.0
Peripheral,volunteer,5.0
Peripheral,volunteer,59.0
Peripheral,volunteer,6.0
Peripheral,volunteer,2.0
Peripheral,volunteer,23.0
Peripheral,volunteer,2.0
Peripheral,volunteer,38.0
Peripheral,volunteer,27.0
Peripheral,volunteer,5.0
Peripheral,volunteer,3.0
Peripheral,volunteer,24.0
Peripheral,volunteer,8.5
Peripheral,volunteer,26.5
Peripheral,volunteer,40.5
Peripheral,volunteer,13.5
Peripheral,volunteer,11.5
Peripheral,volunteer,4.0
Peripheral,volunteer,2.0
Peripheral,volunteer,32.0
Peripheral,volunteer,4.5
Peripheral,volunteer,4.0
Peripheral,volunteer,44.5
Peripheral,volunteer,12.0
Peripheral,volunteer,42.0
Peripheral,volunteer,50.0
Peripheral,volunteer,4.0
Peripheral,volunteer,13.5
Peripheral,volunteer,5.0
Peripheral,volunteer,6.0
Peripheral,volunteer,4.0
Peripheral,volunteer,16.0
Peripheral,volunteer,7.5
Peripheral,volunteer,4.0
Peripheral,volunteer,113.0
Peripheral,volunteer,5.0
Peripheral,volunteer,15.0
Peripheral,volunteer,2.5
Peripheral,volunteer,3.5
Peripheral,volunteer,6.0
Peripheral,volunteer,1.5
Peripheral,volunteer,3.0
Peripheral,volunteer,41.0
Peripheral,volunteer,35.5
Peripheral,volunteer,30.0
Peripheral,volunteer,2.0
Peripheral,volunteer,10.0
Peripheral,volunteer,7.0
Peripheral,volunteer,3.5
Peripheral,volunteer,8.5
Peripheral,volunteer,4.0
Peripheral,volunteer,8.0
Peripheral,volunteer,4.0
Peripheral,volunteer,2.0
Peripheral,volunteer,2.0
Peripheral,volunteer,58.0
Peripheral,volunteer,37.0
Peripheral,volunteer,2.0
Peripheral,volunteer,1.0
Peripheral,volunteer,2.0
Peripheral,volunteer,2.0
Peripheral,volunteer,1.5
Peripheral,volunteer,2.0
Peripheral,volunteer,3.0
Peripheral,volunteer,2.0
Peripheral,volunteer,39.0
Peripheral,volunteer,2.0
Peripheral,volunteer,21.0
Peripheral,volunteer,6.5
Peripheral,volunteer,18.0
Peripheral,volunteer,2.0
Peripheral,volunteer,20.0
Peripheral,volunteer,5.0
Peripheral,volunteer,6.0
Peripheral,volunteer,5.0
Peripheral,volunteer,2.0
Peripheral,volunteer,12.5
Peripheral,volunteer,4.0
Peripheral,volunteer,5.5
Peripheral,volunteer,19.0
Peripheral,volunteer,27.0
Peripheral,volunteer,42.0
Peripheral,volunteer,16.0
Peripheral,volunteer,54.0
Peripheral,volunteer,1.0
Peripheral,volunteer,4.0
Peripheral,volunteer,34.0
Peripheral,volunteer,29.5
Peripheral,volunteer,2.0
Peripheral,volunteer,3.0
Peripheral,volunteer,6.0
Peripheral,volunteer,8.0
Peripheral,volunteer,49.0
Peripheral,volunteer,10.0
Peripheral,volunteer,26.0
Peripheral,volunteer,3.5
Peripheral,volunteer,10.0
Peripheral,volunteer,36.0
Peripheral,volunteer,36.0
Peripheral,volunteer,6.5
Peripheral,volunteer,2.5
Peripheral,volunteer,4.0
Peripheral,volunteer,16.0
Peripheral,volunteer,6.0
Peripheral,volunteer,2.0
Peripheral,volunteer,10.0
Peripheral,volunteer,25.5
Peripheral,volunteer,5.5
Peripheral,volunteer,38.0
Peripheral,volunteer,30.5
Peripheral,volunteer,6.0
Peripheral,volunteer,24.0
Peripheral,volunteer,8.0
Peripheral,volunteer,36.0
Peripheral,volunteer,2.0
Peripheral,volunteer,2.0
Peripheral,volunteer,29.0
Peripheral,volunteer,10.0
Peripheral,volunteer,5.0
Peripheral,volunteer,48.0
Peripheral,volunteer,15.0
Peripheral,volunteer,25.0
Peripheral,volunteer,2.0
Peripheral,volunteer,37.5
Peripheral,volunteer,4.0
Peripheral,volunteer,13.0
Peripheral,volunteer,3.0
Peripheral,volunteer,27.0
Peripheral,volunteer,2.0
Peripheral,volunteer,15.0
Peripheral,volunteer,6.0
Peripheral,volunteer,32.0
Peripheral,volunteer,6.0
Peripheral,volunteer,11.0
Peripheral,volunteer,18.0
Peripheral,volunteer,40.5
Peripheral,volunteer,52.0
Peripheral,volunteer,49.5
Peripheral,volunteer,29.5
Peripheral,volunteer,52.0
Peripheral,volunteer,46.5
Peripheral,volunteer,1.0
Peripheral,volunteer,36.5
Peripheral,volunteer,10.5
Peripheral,volunteer,2.0
Peripheral,volunteer,11.5
Peripheral,volunteer,34.5
Peripheral,volunteer,26.0
Peripheral,volunteer,109.0
Peripheral,volunteer,6.0
Peripheral,volunteer,16.0
Peripheral,volunteer,25.0
Peripheral,volunteer,4.0
Peripheral,volunteer,37.5
Peripheral,volunteer,5.5
Peripheral,volunteer,22.5
Peripheral,volunteer,14.0
Peripheral,volunteer,2.0
Peripheral,volunteer,34.0
Peripheral,volunteer,25.5
Peripheral,volunteer,6.0
Peripheral,volunteer,21.5
Peripheral,volunteer,2.0
Peripheral,volunteer,2.0
Peripheral,volunteer,14.0
Peripheral,volunteer,5.5
Peripheral,volunteer,14.5
Peripheral,volunteer,6.5
Peripheral,volunteer,17.0
Peripheral,volunteer,14.0
Peripheral,volunteer,2.0
Peripheral,volunteer,134.0
Peripheral,volunteer,48.0
Peripheral,volunteer,2.0
Peripheral,volunteer,28.0
Peripheral,volunteer,44.0
Peripheral,volunteer,29.0
Peripheral,volunteer,5.0
Peripheral,volunteer,13.5
Peripheral,volunteer,52.5
Peripheral,volunteer,4.0
Peripheral,volunteer,57.5
Peripheral,volunteer,4.0
Peripheral,volunteer,4.0
Peripheral,volunteer,17.0
Peripheral,volunteer,2.5
Peripheral,volunteer,24.0
Peripheral,volunteer,5.0
Peripheral,volunteer,5.0
Peripheral,volunteer,9.0
Peripheral,volunteer,9.0
Peripheral,volunteer,41.0
Peripheral,volunteer,6.0
Peripheral,volunteer,31.0
Peripheral,volunteer,28.0
Peripheral,volunteer,29.0
Peripheral,volunteer,14.5
Peripheral,volunteer,33.0
Peripheral,volunteer,11.0
Peripheral,volunteer,31.0
Peripheral,volunteer,20.0
Peripheral,volunteer,30.0
Peripheral,volunteer,31.5
Peripheral,volunteer,3.5
Peripheral,volunteer,54.0
Peripheral,volunteer,26.0
Peripheral,volunteer,19.0
Peripheral,volunteer,5.0
Peripheral,volunteer,32.5
Peripheral,volunteer,10.0
Peripheral,volunteer,34.0
Peripheral,volunteer,45.0
Peripheral,volunteer,17.0
Peripheral,volunteer,3.5
Peripheral,volunteer,3.0
Peripheral,volunteer,22.0
Peripheral,volunteer,6.0
Peripheral,volunteer,4.5
Peripheral,volunteer,2.0
Peripheral,volunteer,22.0
Peripheral,volunteer,43.5
Peripheral,volunteer,22.0
Peripheral,volunteer,6.0
Peripheral,volunteer,20.0
Peripheral,volunteer,9.0
Peripheral,volunteer,8.0
Peripheral,volunteer,30.0
Peripheral,volunteer,2.0
Peripheral,volunteer,4.5
Peripheral,volunteer,5.5
Peripheral,volunteer,44.0
Peripheral,volunteer,3.0
Peripheral,volunteer,14.0
Peripheral,volunteer,29.5
Peripheral,volunteer,16.5
Peripheral,volunteer,2.0
Peripheral,volunteer,34.0
Peripheral,volunteer,22.0
Peripheral,volunteer,22.0
Peripheral,volunteer,32.5
Peripheral,volunteer,69.0
Peripheral,volunteer,6.0
Peripheral,volunteer,5.5
Peripheral,volunteer,6.5
Peripheral,volunteer,2.0
Peripheral,volunteer,12.5
Peripheral,volunteer,31.5
Peripheral,volunteer,19.0
Peripheral,volunteer,34.5
Peripheral,volunteer,32.0
Peripheral,volunteer,32.0
Peripheral,volunteer,25.0
Peripheral,volunteer,28.5
Peripheral,volunteer,25.5
Peripheral,volunteer,67.0
Peripheral,volunteer,31.0
Peripheral,volunteer,19.0
Peripheral,volunteer,10.0
Peripheral,volunteer,26.0
Peripheral,volunteer,57.0
Peripheral,volunteer,11.0
Peripheral,volunteer,11.5
Peripheral,volunteer,18.0
Peripheral,volunteer,20.0
Peripheral,volunteer,9.0
Peripheral,volunteer,71.0
Peripheral,volunteer,6.0
Peripheral,volunteer,39.0
Peripheral,volunteer,37.5
Peripheral,volunteer,36.5
Peripheral,volunteer,9.5
Peripheral,volunteer,10.5
Peripheral,volunteer,26.0
Peripheral,volunteer,99.0
Peripheral,volunteer,4.0
Peripheral,volunteer,8.5
Peripheral,volunteer,34.5
Peripheral,volunteer,51.0
Peripheral,volunteer,30.5
Peripheral,volunteer,58.0
Peripheral,volunteer,37.5
Peripheral,volunteer,50.5
Peripheral,volunteer,9.5
Peripheral,volunteer,34.5
Peripheral,volunteer,37.0
Peripheral,volunteer,5.0
Peripheral,volunteer,182.0
Peripheral,volunteer,4.0
Peripheral,volunteer,30.0
Peripheral,volunteer,76.5
Peripheral,volunteer,50.0
Peripheral,volunteer,44.0
Peripheral,volunteer,10.0
Peripheral,volunteer,52.5
Peripheral,volunteer,31.0
Peripheral,volunteer,52.0
Peripheral,volunteer,46.0
Peripheral,volunteer,36.0
Peripheral,volunteer,34.0
Peripheral,volunteer,5.0
Peripheral,volunteer,139.0
Peripheral,volunteer,2.0
Peripheral,volunteer,10.5
Peripheral,volunteer,27.0
Peripheral,volunteer,21.0
Peripheral,volunteer,6.5
Peripheral,volunteer,19.0
Peripheral,volunteer,34.5
Peripheral,volunteer,30.0
Peripheral,volunteer,12.0
Peripheral,volunteer,10.0
Peripheral,volunteer,37.0
Peripheral,volunteer,68.5
Peripheral,volunteer,48.0
Peripheral,volunteer,38.5
Peripheral,volunteer,49.5
Peripheral,volunteer,4.0
Peripheral,volunteer,8.0
Peripheral,volunteer,17.0
Peripheral,volunteer,29.0
Peripheral,volunteer,229.5
Peripheral,volunteer,46.0
Peripheral,volunteer,25.0
Peripheral,volunteer,6.5
Peripheral,volunteer,81.5
Peripheral,volunteer,28.0
Peripheral,volunteer,25.0
Peripheral,volunteer,4.5
Peripheral,volunteer,28.5
Peripheral,volunteer,12.0
Peripheral,volunteer,26.0
Peripheral,volunteer,27.0
Peripheral,volunteer,26.5
Peripheral,volunteer,13.5
Peripheral,volunteer,3.5
Peripheral,volunteer,33.0
Peripheral,volunteer,22.5
Peripheral,volunteer,22.0
Peripheral,volunteer,41.0
Peripheral,volunteer,2.0
Peripheral,volunteer,19.5
Peripheral,volunteer,81.5
Peripheral,volunteer,42.0
Peripheral,volunteer,47.0
Peripheral,volunteer,61.5
Peripheral,volunteer,9.0
Peripheral,volunteer,4.0
Peripheral,volunteer,54.5
Peripheral,volunteer,12.5
Peripheral,volunteer,17.0
Peripheral,volunteer,6.5
Peripheral,volunteer,12.0
Peripheral,volunteer,20.0
Peripheral,volunteer,4.0
Peripheral,volunteer,24.0
Peripheral,volunteer,44.0
Peripheral,volunteer,55.0
Peripheral,volunteer,35.0
Peripheral,volunteer,17.0
Peripheral,volunteer,53.0
Peripheral,volunteer,13.0
Peripheral,volunteer,30.0
Peripheral,volunteer,50.5
Peripheral,volunteer,25.5
Peripheral,volunteer,6.0
Peripheral,volunteer,11.0
Peripheral,volunteer,29.0
Peripheral,volunteer,31.5
Peripheral,volunteer,18.0
Peripheral,volunteer,3.0
Peripheral,volunteer,52.0
Peripheral,volunteer,4.5
Peripheral,volunteer,4.0
Peripheral,volunteer,47.0
Peripheral,volunteer,9.0
Peripheral,volunteer,31.0
Peripheral,volunteer,15.5
Peripheral,volunteer,11.0
Peripheral,volunteer,5.0
Peripheral,volunteer,4.0
Peripheral,volunteer,5.0
Peripheral,volunteer,11.5
Peripheral,volunteer,18.5
Peripheral,volunteer,11.5
Peripheral,volunteer,31.5
Peripheral,volunteer,5.0
Peripheral,volunteer,21.0
Peripheral,volunteer,19.0
Peripheral,volunteer,10.0
Peripheral,volunteer,26.0
Peripheral,volunteer,44.0
Peripheral,volunteer,10.0
Peripheral,volunteer,22.0
Peripheral,volunteer,43.0
Peripheral,volunteer,2.0
Peripheral,volunteer,8.0
Peripheral,volunteer,17.5
Peripheral,volunteer,12.5
Peripheral,volunteer,33.5
Peripheral,volunteer,16.5
Peripheral,volunteer,10.0
Peripheral,volunteer,9.0
Peripheral,volunteer,24.0
Peripheral,volunteer,29.0
Peripheral,volunteer,3.5
Peripheral,volunteer,32.0
Peripheral,volunteer,6.0
Peripheral,volunteer,71.0
Peripheral,volunteer,53.0
Peripheral,volunteer,4.0
Peripheral,volunteer,4.5
Peripheral,volunteer,5.0
Peripheral,volunteer,17.5
Peripheral,volunteer,2.0
Peripheral,volunteer,30.5
Peripheral,volunteer,63.5
Peripheral,volunteer,42.0
Peripheral,volunteer,28.0
Peripheral,volunteer,36.0
Peripheral,volunteer,49.0
Peripheral,volunteer,20.0
Peripheral,volunteer,2.0
Peripheral,volunteer,23.0
Peripheral,paid,39.5
Peripheral,paid,9.0
Peripheral,paid,10.0
Peripheral,paid,20.0
Peripheral,paid,3.0
Peripheral,paid,8.0
Peripheral,paid,16.0
Peripheral,paid,23.0
Peripheral,paid,4.5
Peripheral,paid,22.0
Peripheral,paid,13.0
Peripheral,paid,14.5
Peripheral,paid,34.0
Peripheral,paid,11.5
Peripheral,paid,12.0
Peripheral,paid,22.0
Peripheral,paid,45.0
Peripheral,paid,9.5
Peripheral,paid,7.0
Peripheral,paid,70.0
Peripheral,paid,4.0
Peripheral,paid,27.0
Peripheral,paid,8.0
Peripheral,paid,4.0
Peripheral,paid,8.0
Peripheral,paid,7.0
Peripheral,paid,43.0
Peripheral,paid,25.0
Peripheral,paid,2.0
Peripheral,paid,26.0
Peripheral,paid,20.0
Peripheral,paid,12.0
Peripheral,paid,14.5
Peripheral,paid,5.0
Peripheral,paid,64.0
Peripheral,paid,43.0
Peripheral,paid,41.5
Peripheral,paid,30.0
Peripheral,paid,47.0
Peripheral,paid,17.0
Peripheral,paid,22.0
Peripheral,paid,25.5
Peripheral,paid,4.5
Peripheral,paid,14.5
Peripheral,paid,33.0
Peripheral,paid,2.0
Peripheral,paid,40.0
Peripheral,paid,7.5
Peripheral,paid,11.0
Peripheral,paid,17.5
Peripheral,paid,8.0
Peripheral,paid,24.0
Peripheral,paid,37.0
Peripheral,paid,25.0
Peripheral,paid,17.5
Peripheral,paid,24.0
Peripheral,paid,49.5
Peripheral,paid,4.0
Peripheral,paid,24.0
Peripheral,paid,9.0
Peripheral,paid,8.0
Peripheral,paid,23.0
Peripheral,paid,42.0
Peripheral,paid,2.5
Peripheral,paid,5.0
Peripheral,paid,21.0
Peripheral,paid,10.0
Peripheral,paid,15.0
Peripheral,paid,34.0
Peripheral,paid,4.0
Peripheral,paid,10.0
Peripheral,paid,28.0
Peripheral,paid,10.5
Peripheral,paid,6.0
Peripheral,paid,23.0
Peripheral,paid,15.0
Peripheral,paid,15.0
Peripheral,paid,6.0
Peripheral,paid,27.0
Peripheral,paid,9.5
Peripheral,paid,9.0
Peripheral,paid,4.0
Peripheral,paid,13.5
Peripheral,paid,2.0
Peripheral,paid,2.0
Peripheral,paid,39.5
Peripheral,paid,28.0
Peripheral,paid,8.0
Peripheral,paid,4.0
Peripheral,paid,9.0
Peripheral,paid,60.5
Peripheral,paid,2.0
Peripheral,paid,4.0
Peripheral,paid,8.0
Peripheral,paid,5.0
Peripheral,paid,34.0
Peripheral,paid,16.0
Peripheral,paid,8.0
Peripheral,paid,42.5
Peripheral,paid,26.0
Peripheral,paid,4.5
Peripheral,paid,36.5
Peripheral,paid,37.0
Peripheral,paid,22.0
Peripheral,paid,8.0
Peripheral,paid,4.5
Peripheral,paid,11.0
Peripheral,paid,10.5
Peripheral,paid,8.0
Peripheral,paid,43.0
Peripheral,paid,48.5
Peripheral,paid,49.5
Peripheral,paid,2.0
Peripheral,paid,6.0
Peripheral,paid,21.0
Peripheral,paid,59.0
Peripheral,paid,21.0
Peripheral,paid,11.0
Peripheral,paid,10.0
Peripheral,paid,27.0
Peripheral,paid,2.0
Peripheral,paid,26.5
Peripheral,paid,7.0
Peripheral,paid,34.0
Peripheral,paid,21.5
Peripheral,paid,16.0
Peripheral,paid,8.5
Peripheral,paid,36.5
Peripheral,paid,36.0
Peripheral,paid,24.0
Peripheral,paid,17.5
Peripheral,paid,32.0
Peripheral,paid,42.5
Peripheral,volunteer,2.0
Peripheral,volunteer,30.0
Peripheral,volunteer,2.0
Peripheral,volunteer,23.5
Peripheral,volunteer,18.0
Peripheral,volunteer,6.5
Peripheral,volunteer,27.0
Peripheral,volunteer,15.0
Peripheral,volunteer,24.0
Peripheral,volunteer,20.5
Peripheral,volunteer,43.5
Peripheral,volunteer,8.5
Peripheral,volunteer,14.5
Peripheral,volunteer,72.0
Peripheral,volunteer,14.0
Peripheral,volunteer,30.5
Peripheral,volunteer,7.5
Peripheral,volunteer,24.0
Peripheral,volunteer,18.0
Peripheral,volunteer,27.0
Peripheral,volunteer,18.5
Peripheral,volunteer,27.0
Peripheral,volunteer,33.0
Peripheral,volunteer,34.0
Peripheral,volunteer,47.0
Peripheral,volunteer,2.0
Peripheral,volunteer,5.5
Peripheral,volunteer,3.0
Peripheral,volunteer,27.0
Peripheral,volunteer,82.0
Peripheral,volunteer,27.0
Peripheral,volunteer,9.0
Peripheral,volunteer,39.0
Peripheral,volunteer,4.5
Peripheral,volunteer,26.0
Peripheral,volunteer,23.5
Peripheral,volunteer,43.0
Peripheral,volunteer,29.0
Peripheral,volunteer,19.5
Peripheral,volunteer,11.0
Peripheral,volunteer,14.0
Peripheral,volunteer,8.0
Peripheral,volunteer,36.5
Peripheral,volunteer,33.0
Peripheral,volunteer,22.0
Peripheral,volunteer,7.0
Peripheral,volunteer,17.0
Peripheral,volunteer,31.5
Peripheral,volunteer,20.0
Peripheral,volunteer,44.0
Peripheral,volunteer,34.5
Peripheral,volunteer,25.5
Peripheral,volunteer,20.0
Peripheral,volunteer,17.0
Peripheral,volunteer,17.0
Peripheral,volunteer,3.0
Peripheral,volunteer,57.0
Peripheral,volunteer,7.0
Peripheral,volunteer,38.0
Peripheral,volunteer,44.5
Peripheral,volunteer,3.0
Peripheral,volunteer,9.5
Peripheral,volunteer,31.0
Peripheral,volunteer,8.5
Peripheral,volunteer,28.0
Peripheral,volunteer,11.5
Peripheral,volunteer,43.0
Peripheral,volunteer,3.5
Peripheral,volunteer,17.0
Peripheral,volunteer,8.0
Peripheral,volunteer,24.0
Peripheral,volunteer,41.0
Peripheral,volunteer,30.0
Peripheral,volunteer,2.0
Peripheral,volunteer,17.5
Peripheral,volunteer,3.0
Peripheral,volunteer,33.0
Peripheral,volunteer,26.0
Peripheral,volunteer,24.0
Peripheral,volunteer,10.0
